uid,region,cluster,band,weeknum,Cell_Avaiability,Attach_Setup_Success_Rate,RRC_Setup_Success_Rate,eRAB_Setup_Success_Rate_nGBR,VoLTE_Setup_Success_Rate_GBR,Call_Drop_Rate_eRAB_nGBR,VoLTE_Call_Drop_Rate_eRAB_GBR,HOSR_Intra_Frequency,HOSR_Inter_Frequency,X2_Handover_Out_Success_Rate,X2_Handover_In_Success_Rate,S1_Handover_Out_Success_Rate,S1_Handover_In_Success_Rate,DL_BLER,UL_BLER
CENTRAL-PJ-2.3G-24Week 37,CENTRAL,PJ,2.3G,24Week 37,99.9122,99.68450385,99.7721,99.9064,99.5457,1.1566,0.2922,100.4297,99.8105,99.869,99.7143,99.8121,96.8968,0.4357,0.2569
CENTRAL-SUBANG-2.3G-24Week 37,CENTRAL,SUBANG,2.3G,24Week 37,99.1438,99.70100217,99.7814,99.9084,99.7811,1.2106,0.2519,99.678,99.7249,99.7245,99.8209,98.9733,99.5347,0.4161,0.2319
CENTRAL-BATU TIGA-2.3G-24Week 37,CENTRAL,BATU TIGA,2.3G,24Week 37,99.9345,99.69924663,99.783,99.9043,99.9156,1.0597,0.2718,99.764,99.8671,99.7612,99.751,99.3725,99.0161,0.4046,0.2574
CENTRAL-PANTAI-2.3G-24Week 37,CENTRAL,PANTAI,2.3G,24Week 37,99.6594,99.68778542,99.7718,99.8979,99.8201,1.1469,0.1094,99.758,99.8397,99.776,99.7557,97.2352,97.0048,0.3933,0.2446
CENTRAL-DAMANSARA-2.3G-24Week 37,CENTRAL,DAMANSARA,2.3G,24Week 37,99.9237,99.50698031,99.6648,99.8251,99.7164,1.6654,0.2803,99.7054,99.7523,99.7274,99.7114,98.2458,98.481,0.4587,0.2982
CENTRAL-KOTA KEMUNING-2.3G-24Week 37,CENTRAL,KOTA KEMUNING,2.3G,24Week 37,99.9943,99.7088828,99.7688,99.9285,99.8896,1.0045,0.28,99.7365,99.8456,99.7517,99.7501,99.5979,98.7302,0.4026,0.2335
CENTRAL-SHAH ALAM-2.3G-24Week 37,CENTRAL,SHAH ALAM,2.3G,24Week 37,98.7765,99.64161625,99.7237,99.9095,99.8369,1.0223,0.2117,99.7378,99.8251,99.7187,99.7009,99.5391,100.2543,0.4121,0.288
CENTRAL-SG BULOH-2.3G-24Week 37,CENTRAL,SG BULOH,2.3G,24Week 37,99.9184,99.79712791,99.847,99.9429,99.8541,1.2859,0.4677,99.6568,99.7338,99.604,99.7501,90.425,90.3297,0.3616,0.2079
CENTRAL-KOTA DAMANSARA-2.3G-24Week 37,CENTRAL,KOTA DAMANSARA,2.3G,24Week 37,99.9097,99.67092053,99.7496,99.9068,99.9029,1.5154,0.3394,98.7868,99.8107,99.7683,99.6857,79.3648,97.0508,0.4171,0.2606
CENTRAL-PANDAN-2.3G-24Week 37,CENTRAL,PANDAN,2.3G,24Week 37,98.9813,99.59050216,99.7236,99.8754,99.7717,1.4014,0.3825,99.693,99.6801,99.7211,99.6142,97.9695,94.1176,0.4354,0.29
CENTRAL-AMPANG-2.3G-24Week 37,CENTRAL,AMPANG,2.3G,24Week 37,98.9385,99.74811625,99.8328,99.9074,99.8316,1.1578,0.2943,99.7604,99.8399,99.7415,99.7599,91.1654,97.0455,0.3789,0.2263
CENTRAL-KLANG-2.3G-24Week 37,CENTRAL,KLANG,2.3G,24Week 37,99.9013,99.64370582,99.6944,99.9379,99.8478,0.8541,0.1041,99.7922,99.8858,99.7904,99.7708,98.3173,97.3189,0.3175,0.1977
CENTRAL-MERU-2.3G-24Week 37,CENTRAL,MERU,2.3G,24Week 37,99.9258,99.80304409,99.8496,99.9445,99.8604,0.895,0.0751,99.6439,99.4828,99.8346,100.0032,99.7135,99.4131,0.3518,0.2232
CENTRAL-PORT KLANG-2.3G-24Week 37,CENTRAL,PORT KLANG,2.3G,24Week 37,99.958,99.84054858,99.8805,99.9518,99.8983,0.8887,0.3026,94.3407,99.1916,99.6847,99.6891,82.9259,99.7271,0.3517,0.2013
CENTRAL-KAPAR-2.3G-24Week 37,CENTRAL,KAPAR,2.3G,24Week 37,99.5816,99.68897168,99.7719,99.9049,99.8497,1.1846,0.4462,99.7508,99.6781,99.6789,99.8011,99.1989,100.6992,0.4004,0.279
CENTRAL-ELITE HIGHWAY-2.3G-24Week 37,CENTRAL,ELITE HIGHWAY,2.3G,24Week 37,99.9132,99.54527689,99.6517,99.8827,99.8519,1.0733,0.4641,97.724,99.107,97.5824,99.7502,98.9336,97.8634,0.4547,0.2743
CENTRAL-PUCHONG-2.3G-24Week 37,CENTRAL,PUCHONG,2.3G,24Week 37,99.7728,99.70666636,99.8004,99.8944,99.8259,0.9705,0.1717,98.6814,99.6976,99.0706,95.9357,96.0017,96.7457,0.376,0.2534
CENTRAL-DENGKIL-2.3G-24Week 37,CENTRAL,DENGKIL,2.3G,24Week 37,99.9816,99.71541023,99.777,99.9238,99.8967,1.021,0.3832,99.6902,99.7591,99.7354,99.7406,99.5894,99.2612,0.3598,0.2633
CENTRAL-SRI KEMBANGAN-2.3G-24Week 37,CENTRAL,SRI KEMBANGAN,2.3G,24Week 37,99.9989,99.74776833,99.8013,99.9368,99.8372,1.1258,0.3419,99.6912,99.7968,99.7129,99.7684,99.2313,98.708,0.4352,0.2531
CENTRAL-PUTRAJAYA-2.3G-24Week 37,CENTRAL,PUTRAJAYA,2.3G,24Week 37,99.9834,99.78462929,99.8436,99.9279,99.8853,1.1589,0.1514,99.7135,99.7831,99.7492,99.7146,100.7522,99.7384,0.328,0.2029
CENTRAL-KINRARA-2.3G-24Week 37,CENTRAL,KINRARA,2.3G,24Week 37,99.998,99.62398971,99.7285,99.8812,99.6601,1.3328,0.2865,99.6989,99.8059,99.7179,99.6868,76.6341,101.5265,0.4062,0.4591
CENTRAL-CHERAS-2.3G-24Week 37,CENTRAL,CHERAS,2.3G,24Week 37,99.8863,99.72695552,99.7861,99.9285,99.8691,1.0268,0.1717,99.5909,99.6656,99.6334,99.7894,74.852,97.0244,0.3403,0.2298
CENTRAL-SENTUL-2.3G-24Week 37,CENTRAL,SENTUL,2.3G,24Week 37,99.9374,99.64367498,99.7298,99.9001,99.8261,1.2033,0.3273,99.7432,99.8301,99.7741,99.7485,99.2041,99.2323,0.4903,0.3
CENTRAL-BKT BINTANG-2.3G-24Week 37,CENTRAL,BKT BINTANG,2.3G,24Week 37,99.7535,99.65992392,99.755,99.8908,99.7974,1.6809,0.3543,99.3627,99.7605,99.7623,99.7507,70.4867,90.8618,0.4977,0.3101
CENTRAL-KEPONG-2.3G-24Week 37,CENTRAL,KEPONG,2.3G,24Week 37,99.9809,99.59331947,99.6852,99.8947,99.7003,1.2311,0.2692,99.7491,99.8356,99.7579,99.7926,99.4608,99.2168,0.3932,0.2949
CENTRAL-KLANG LAMA-2.3G-24Week 37,CENTRAL,KLANG LAMA,2.3G,24Week 37,99.9939,99.66451511,99.7579,99.8934,99.7429,1.2078,0.2762,99.2291,99.796,99.6829,99.7306,83.8882,101.1137,0.4275,0.2606
CENTRAL-KL-2.3G-24Week 37,CENTRAL,KL,2.3G,24Week 37,97.2119,99.60425482,99.7047,99.8767,99.7771,1.913,0.5395,99.7312,99.7396,99.7377,99.7416,99.2292,97.6253,0.5521,0.3078
CENTRAL-WANGSA MAJU-2.3G-24Week 37,CENTRAL,WANGSA MAJU,2.3G,24Week 37,99.6299,99.70774068,99.8017,99.9006,99.892,0.9941,0.1835,99.7313,99.7204,99.7675,99.7638,99.1478,98.5396,0.366,0.2458
CENTRAL-SELAYANG-2.3G-24Week 37,CENTRAL,SELAYANG,2.3G,24Week 37,99.9792,99.67426358,99.7653,99.9001,99.7874,0.9498,0.1182,99.7915,99.828,99.7443,99.8043,99.5495,99.2529,0.3563,0.249
CENTRAL-PUNCAK ALAM-2.3G-24Week 37,CENTRAL,PUNCAK ALAM,2.3G,24Week 37,99.859,99.70829739,99.8266,99.9254,99.8386,0.9868,0.1253,98.2725,99.4737,98.2513,98.3489,87.3697,97.8914,0.361,0.2918
CENTRAL-SERDANG-2.3G-24Week 37,CENTRAL,SERDANG,2.3G,24Week 37,99.8842,99.71701434,99.7786,99.9346,99.7526,1.2398,0.1183,99.9202,99.9049,99.7915,99.7805,99.6761,100.4472,0.37,0.2186
CENTRAL-KAJANG-2.3G-24Week 37,CENTRAL,KAJANG,2.3G,24Week 37,99.9068,99.81190921,99.8621,99.9427,99.893,1.097,0.1755,99.7334,99.7112,99.7606,99.765,98.2785,99.4388,0.3363,0.2047
CENTRAL-BANGI-2.3G-24Week 37,CENTRAL,BANGI,2.3G,24Week 37,99.9595,99.77151653,99.8348,99.9288,99.8852,0.8528,0.112,99.9669,99.841,99.7625,99.7474,98.7264,98.2475,0.3552,0.2299
CENTRAL-HIGHWAY (SOUTH)-2.3G-24Week 37,CENTRAL,HIGHWAY (SOUTH),2.3G,24Week 37,99.9948,99.70332226,99.7746,99.9137,99.7671,0.9648,0.381,99.5783,99.872,99.5898,99.6668,95.427,100.7973,0.3524,0.2585
CENTRAL-JENJARUM-2.3G-24Week 37,CENTRAL,JENJARUM,2.3G,24Week 37,99.9895,99.78803118,99.8217,99.955,99.8566,1.1935,0.7498,99.7234,99.7242,99.5912,99.8633,98.5786,97.7379,0.3588,0.2413
CENTRAL-IJUK-2.3G-24Week 37,CENTRAL,IJUK,2.3G,24Week 37,99.995,99.8676921,99.898,99.9654,99.9654,0.8456,0.3036,99.576,99.6969,99.5055,100.0159,69.8448,96.4594,0.3216,0.2179
CENTRAL-HIGHWAY (NORTH)-2.3G-24Week 37,CENTRAL,HIGHWAY (NORTH),2.3G,24Week 37,99.778,99.67014809,99.7662,99.8936,99.7607,1.1549,0.476,99.6786,99.8454,99.7152,99.7923,96.5783,96.3366,0.3587,0.2419
CENTRAL-RAWANG-2.3G-24Week 37,CENTRAL,RAWANG,2.3G,24Week 37,100,99.87606609,99.908,99.9632,99.9087,0.8458,0.1472,100.1368,99.9589,99.9188,99.7471,102.2232,99.0168,0.3175,0.1719
CENTRAL-SABAK BERNAM-2.3G-24Week 37,CENTRAL,SABAK BERNAM,2.3G,24Week 37,99.8791,99.94961481,99.9766,99.971,99.9086,0.6695,0.288,99.9372,99.5153,99.9131,99.8754,95.082,85.879,0.2658,0.1812
CENTRAL-KUALA SELANGOR-2.3G-24Week 37,CENTRAL,KUALA SELANGOR,2.3G,24Week 37,99.9908,99.8385277,99.8755,99.9581,99.9151,0.4229,0.2249,99.5491,99.7816,99.5564,99.5634,99.1145,97.6401,0.2825,0.1932
CENTRAL-BATANG BERJUNTAI-2.3G-24Week 37,CENTRAL,BATANG BERJUNTAI,2.3G,24Week 37,99.9618,99.76916659,99.8067,99.9546,99.9533,0.9663,0.9995,99.8509,99.7754,99.4106,99.8993,99.2968,100.5381,0.3543,0.254
CENTRAL-LABU-2.3G-24Week 37,CENTRAL,LABU,2.3G,24Week 37,99.9935,99.81454757,99.8521,99.9492,99.8982,1.0327,0.42,99.3008,100.1785,99.6296,99.7279,96.6569,94.5771,0.3262,0.2069
CENTRAL-BANTING-2.3G-24Week 37,CENTRAL,BANTING,2.3G,24Week 37,99.9836,99.72171425,99.7657,99.9319,99.9307,1.1662,0.3655,99.71,99.6995,99.3037,99.6801,98.6884,94.4635,0.3678,0.3382
CENTRAL-BATANG KALI-2.3G-24Week 37,CENTRAL,BATANG KALI,2.3G,24Week 37,99.8675,99.89973704,99.9322,99.9615,99.9842,0.8655,0.2049,99.6667,99.8439,100.7976,99.7224,60.5263,99.8077,0.2511,0.1573
CENTRAL-KARAK HIGHWAY-2.3G-24Week 37,CENTRAL,KARAK HIGHWAY,2.3G,24Week 37,99.9495,99.83391228,99.8663,99.95,99.9303,1.2183,0.3454,101.207,99.8299,99.7688,99.6891,99.0748,99.4104,0.3664,0.2426
CENTRAL-KLIA-2.3G-24Week 37,CENTRAL,KLIA,2.3G,24Week 37,99.5943,99.72271401,99.7908,99.9201,99.888,1.0741,0.3514,99.8518,99.6997,99.6521,99.6585,99.6902,100.0775,0.3766,0.3202
CENTRAL-HULU LANGAT-2.3G-24Week 37,CENTRAL,HULU LANGAT,2.3G,24Week 37,99.9945,99.80631711,99.8555,99.9361,100,1.3414,1.7127,99.7187,99.9126,99.4983,99.4575,97.619,97.9592,0.2878,0.2982
CENTRAL-SEMENYIH-2.3G-24Week 37,CENTRAL,SEMENYIH,2.3G,24Week 37,99.9708,99.77334696,99.8369,99.9254,99.943,1.0103,0.1629,99.5971,99.6181,99.7603,99.6767,97.439,99.1461,0.3375,0.2428
CENTRAL-TAMPIN TOWN-2.3G-24Week 37,CENTRAL,TAMPIN TOWN,2.3G,24Week 37,100,99.9410481,99.9535,99.9822,99.9195,0.5444,0.3923,99.5817,99.4494,99.5164,99.6941,94.4444,94.8718,0.2298,0.1226
CENTRAL-SENAWANG-2.3G-24Week 37,CENTRAL,SENAWANG,2.3G,24Week 37,99.956,99.93859959,99.9699,99.9621,99.8417,0.9805,0.1436,99.7863,99.6673,99.5358,99.7161,97.2871,99.303,0.2825,0.1524
CENTRAL-SEREMBAN-2.3G-24Week 37,CENTRAL,SEREMBAN,2.3G,24Week 37,99.305,99.90110897,99.9289,99.9633,99.9104,0.7469,0.1374,99.9759,99.6824,99.8673,99.6744,98.62,100.1581,0.3013,0.1551
CENTRAL-BATANG BENAR-2.3G-24Week 37,CENTRAL,BATANG BENAR,2.3G,24Week 37,99.9991,99.66801306,99.7111,99.947,99.9611,0.8983,0.1009,100.2428,99.6519,99.7352,99.5166,97.859,97.5988,0.3556,0.2137
CENTRAL-KUALA PILAH-2.3G-24Week 37,CENTRAL,KUALA PILAH,2.3G,24Week 37,100,99.79322001,99.8681,99.916,100,1.2892,0.5995,99.4961,99.1617,99.3267,99.4962,100,100,0.2441,0.1861
CENTRAL-KLAWANG-2.3G-24Week 37,CENTRAL,KLAWANG,2.3G,24Week 37,100,99.85616634,99.8789,99.9672,100,1.4448,0.3106,99.8366,99.9614,99.5288,99.7467,,,0.1798,0.1433
CENTRAL-BAHAU-2.3G-24Week 37,CENTRAL,BAHAU,2.3G,24Week 37,99.9917,99.81141786,99.858,99.9377,99.8993,1.3717,0.127,99.4197,99.6913,99.2725,99.4283,97.807,90.0901,0.2567,0.1804
CENTRAL-GEMAS-2.3G-24Week 37,CENTRAL,GEMAS,2.3G,24Week 37,99.9778,99.913124,99.9303,99.9695,99.9042,0.9104,0.1123,99.5238,99.7026,101.2597,99.3538,98.331,99.072,0.2608,0.1818
CENTRAL-RANTAU-2.3G-24Week 37,CENTRAL,RANTAU,2.3G,24Week 37,99.9999,99.90569979,99.9255,99.9613,100,0.8961,0.1921,99.0773,99.3828,98.722,99.2762,98.1061,98.2692,0.2022,0.1212
CENTRAL-PORT DICKSON-2.3G-24Week 37,CENTRAL,PORT DICKSON,2.3G,24Week 37,99.9457,99.87946499,99.9077,99.9661,99.9103,0.818,0.1042,99.6577,99.4691,99.9603,99.7492,90.9393,97.4491,0.2565,0.1484
CENTRAL-PEDAS-2.3G-24Week 37,CENTRAL,PEDAS,2.3G,24Week 37,99.9848,99.77292413,99.8368,99.9282,99.8816,1.3601,0.1572,99.3727,99.7469,99.3706,99.5764,98.25,96.5863,0.2852,0.2039
CENTRAL-NO CLUSTER INFO YET-2.3G-24Week 37,CENTRAL,NO CLUSTER INFO YET,2.3G,24Week 37,76.8096,99.45766798,99.653,99.9193,99.6516,0.7365,4.9457,99.7649,99.9058,99.7428,98.7634,100,68.0556,1.1017,0.3452
CENTRAL-FELDA-2.3G-24Week 37,CENTRAL,FELDA,2.3G,24Week 37,99.4883,99.05975932,99.7953,99.8992,100,1.5028,1.6807,95.6715,96.7569,96.5561,98.8708,46.9208,92.6199,0.3631,0.3491
CENTRAL-FELDA PASOH-2.3G-24Week 37,CENTRAL,FELDA PASOH,2.3G,24Week 37,99.9941,99.84130146,99.8868,99.946,99.9783,1.2686,0.1693,99.5296,99.8283,99.1998,99.2646,92.4556,90.2828,0.2455,0.1905
CENTRAL-ROMPIN-2.3G-24Week 37,CENTRAL,ROMPIN,2.3G,24Week 37,99.1992,99.81099345,99.8628,99.9389,100,2.815,0.6545,99.5329,97.593,96.7003,96.8887,99.3151,97.4589,0.2349,0.2039
NORTHERN-JELUTONG-2.3G-24Week 37,NORTHERN,JELUTONG,2.3G,24Week 37,99.651,99.79305801,99.8451,99.933,99.5542,1.0141,0.1393,99.391,99.6005,99.2984,99.6417,92.4485,94.3276,0.3319,0.2055
NORTHERN-HW SIMPANG AMPAT-NIBONG TEBAL-2.3G-24Week 37,NORTHERN,HW SIMPANG AMPAT-NIBONG TEBAL,2.3G,24Week 37,99.9864,99.63750133,99.7181,99.9016,99.7992,1.3639,0.3409,99.3461,99.9107,99.2852,99.4812,95.5056,96.3958,0.3588,0.2356
NORTHERN-TW BKT. MERTAJAM-2.3G-24Week 37,NORTHERN,TW BKT. MERTAJAM,2.3G,24Week 37,99.9997,99.67569168,99.7913,99.8695,99.8588,0.9725,0.3951,99.5307,99.7893,99.5072,99.6317,100.163,97.9702,0.3303,0.2062
NORTHERN-BUTTERWORTH-2.3G-24Week 37,NORTHERN,BUTTERWORTH,2.3G,24Week 37,99.207,99.79872671,99.8621,99.9376,99.8658,0.839,0.5268,99.6552,99.6753,99.613,100.0399,98.997,99.6391,0.3149,0.1875
NORTHERN-HW BUTTERWORTH - KEPALA BATAS-2.3G-24Week 37,NORTHERN,HW BUTTERWORTH - KEPALA BATAS,2.3G,24Week 37,99.1937,99.71278341,99.7769,99.9179,99.7394,0.7229,0.6384,99.3608,99.2885,99.4291,99.8098,97.7651,98.9474,0.355,0.2263
NORTHERN-SG DUA-2.3G-24Week 37,NORTHERN,SG DUA,2.3G,24Week 37,100,99.87444099,99.9071,99.9598,99.8663,0.3882,0.3103,99.3836,99.5643,99.3908,99.5816,98.5842,97.2326,0.2431,0.2015
NORTHERN-GEORGETOWN-2.3G-24Week 37,NORTHERN,GEORGETOWN,2.3G,24Week 37,99.5175,99.63507365,99.7517,99.8615,99.7393,1.0226,0.2581,99.4109,99.5011,99.2819,99.5555,97.0177,95.2061,0.4972,0.26
NORTHERN-BKT TENGAH - PERAI INDUSTRIAL-2.3G-24Week 37,NORTHERN,BKT TENGAH - PERAI INDUSTRIAL,2.3G,24Week 37,100,99.71046606,99.825,99.86,99.7969,1.5912,0.6474,100.3865,99.8649,100.6477,99.5088,98.0819,97.7876,0.3184,0.1665
NORTHERN-HW BUTTERWORTH-KULIM-2.3G-24Week 37,NORTHERN,HW BUTTERWORTH-KULIM,2.3G,24Week 37,99.9759,99.85981613,99.8896,99.963,99.8655,0.6712,0.1529,99.294,99.5343,99.3637,99.5395,98.6727,98.6694,0.3298,0.1895
NORTHERN-TW BKT. MINYAK-2.3G-24Week 37,NORTHERN,TW BKT. MINYAK,2.3G,24Week 37,99.9999,99.77060103,99.8543,99.9083,99.8303,0.8352,0.2042,99.3589,99.7197,99.7688,99.6316,98.4842,98.7793,0.3591,0.1917
NORTHERN-BAYAN LEPAS-BATU MAUNG-2.3G-24Week 37,NORTHERN,BAYAN LEPAS-BATU MAUNG,2.3G,24Week 37,99.7889,99.5294461,99.7022,99.8109,99.5627,1.2784,0.1722,98.1034,98.6997,97.336,99.5598,96.3359,95.0831,0.4548,0.2771
NORTHERN-AYER ITAM-2.3G-24Week 37,NORTHERN,AYER ITAM,2.3G,24Week 37,99.5793,99.83575586,99.8745,99.9534,99.8995,0.8706,0.121,99.4465,99.6487,99.3792,99.6555,96.6258,96.9345,0.3722,0.2026
NORTHERN-RD SG DUA - TASEK GELUGOR-2.3G-24Week 37,NORTHERN,RD SG DUA - TASEK GELUGOR,2.3G,24Week 37,99.9988,99.81230338,99.8564,99.9446,99.8489,0.4407,0.2182,100.3217,99.5588,100.4539,99.4189,98.4402,97.9709,0.2452,0.2146
NORTHERN-KEPALA BATAS-2.3G-24Week 37,NORTHERN,KEPALA BATAS,2.3G,24Week 37,99.9823,99.84128673,99.8804,99.9534,99.8751,0.4562,0.6418,99.2105,99.5781,99.4006,99.4691,98.5581,98.6208,0.3143,0.1811
NORTHERN-VALDOR - MACHANG BUBUK-2.3G-24Week 37,NORTHERN,VALDOR - MACHANG BUBUK,2.3G,24Week 37,99.933,99.73470909,99.7944,99.9383,99.8352,0.7719,0.1874,100.1345,99.3044,99.167,99.4713,97.8014,97.3761,0.3,0.1831
NORTHERN-NIBONG TEBAL-2.3G-24Week 37,NORTHERN,NIBONG TEBAL,2.3G,24Week 37,99.9989,99.87710876,99.8995,99.9699,99.957,0.5156,0.1051,100.03,99.5873,99.2848,99.5315,97.8025,98.8298,0.2513,0.1508
NORTHERN-PERAI-2.3G-24Week 37,NORTHERN,PERAI,2.3G,24Week 37,99.9993,99.65803617,99.7393,99.891,99.9123,1.1461,0.1131,99.458,99.5569,99.414,99.6064,100.7815,103.7506,0.397,0.2645
NORTHERN-GELUGOR-2.3G-24Week 37,NORTHERN,GELUGOR,2.3G,24Week 37,99.6474,99.66981187,99.7875,99.8655,99.6154,1.1162,0.1218,97.8406,98.6757,97.2895,99.6016,92.1934,94.1252,0.4129,0.2184
NORTHERN-BATU FERINGGI-2.3G-24Week 37,NORTHERN,BATU FERINGGI,2.3G,24Week 37,99.9978,99.58250959,99.6663,99.9046,99.7305,2.006,0.237,98.7097,99.7058,98.5941,99.1504,100,87.5,0.5472,0.3434
NORTHERN-TANJONG BUNGAH-2.3G-24Week 37,NORTHERN,TANJONG BUNGAH,2.3G,24Week 37,99.6355,99.78652328,99.8511,99.9191,100,1.4027,0.48,99.1933,99.7629,99.1281,99.4384,98.3969,107.1087,0.3575,0.2397
NORTHERN-TW BALIK PULAU-2.3G-24Week 37,NORTHERN,TW BALIK PULAU,2.3G,24Week 37,99.758,99.66956965,99.8041,99.8395,99.9,0.8628,0.208,97.9151,98.2524,97.5007,99.0499,97.8947,72.7273,0.4957,0.3077
NORTHERN-TW TASEK GELUGOR-2.3G-24Week 37,NORTHERN,TW TASEK GELUGOR,2.3G,24Week 37,100,99.81605677,99.8427,99.9656,100,0.8265,0.5833,99.3554,99.8018,99.2785,99.319,98.0366,97.6926,0.2561,0.1889
NORTHERN-TW SITIAWAN A. TAWAR-2.3G-24Week 37,NORTHERN,TW SITIAWAN A. TAWAR,2.3G,24Week 37,98.6096,99.81993074,99.8707,99.9391,99.9279,0.6447,0.1069,99.3608,99.6261,100.096,99.8308,22.069,99.2063,0.2194,0.1693
NORTHERN-RD A. TAWAR - IPOH-2.3G-24Week 37,NORTHERN,RD A. TAWAR - IPOH,2.3G,24Week 37,99.9978,99.83518465,99.8689,99.9543,99.9278,1.0124,0.1708,99.3201,99.7983,99.2248,99.3721,74.5455,99.2288,0.3577,0.208
NORTHERN-RD KAMPAR-2.3G-24Week 37,NORTHERN,RD KAMPAR,2.3G,24Week 37,99.9503,99.83381713,99.8644,99.9603,99.8876,0.8178,0.2608,99.4464,99.6755,99.2502,99.477,12.9032,,0.2749,0.195
NORTHERN-TW BATU GAJAH-2.3G-24Week 37,NORTHERN,TW BATU GAJAH,2.3G,24Week 37,99.9981,99.89723301,99.9272,99.9653,100,1.2217,0.1293,99.3231,99.6391,99.1562,102.289,0,,0.2563,0.1648
NORTHERN-HW TAPAH - JELAPANG-2.3G-24Week 37,NORTHERN,HW TAPAH - JELAPANG,2.3G,24Week 37,99.8248,99.81560702,99.8617,99.9397,99.8893,1.1048,0.2916,99.8811,99.6932,99.826,99.5793,17.3077,100,0.3099,0.2107
NORTHERN-HW BEHRANG - TAPAH-2.3G-24Week 37,NORTHERN,HW BEHRANG - TAPAH,2.3G,24Week 37,100,99.58970436,99.6767,99.9069,100,2.0183,0.1866,98.1289,99.7326,97.8969,98.9334,,,0.6864,0.4277
NORTHERN-RD T. INTAN - SITIAWAN-2.3G-24Week 37,NORTHERN,RD T. INTAN - SITIAWAN,2.3G,24Week 37,95.8385,99.75883228,99.8033,99.9403,99.9563,1.5891,1.2785,101.3644,100.8498,98.8833,100.0275,0.5525,,0.3586,0.3069
NORTHERN-RD K. SELANGOR - T. INTAN-2.3G-24Week 37,NORTHERN,RD K. SELANGOR - T. INTAN,2.3G,24Week 37,99.9987,99.85611055,99.8903,99.9585,99.8759,0.9564,0.2714,99.2848,98.4705,101.0253,99.3524,93.2692,92.4812,0.2097,0.1669
NORTHERN-TW TELUK INTAN-2.3G-24Week 37,NORTHERN,TW TELUK INTAN,2.3G,24Week 37,99.9928,99.82144406,99.8628,99.9328,99.81,0.598,0.0857,100.2614,99.7337,99.2885,99.5513,12.5,100,0.2757,0.1647
NORTHERN-PH1 TG MALIM TO BIDOR-2.3G-24Week 37,NORTHERN,PH1 TG MALIM TO BIDOR,2.3G,24Week 37,99.8497,100.1624084,100.1245,100.0947,99.9425,1.2174,0.3131,100.708,99.6327,99.2119,99.4028,30.4569,91.5663,0.2947,0.2212
NORTHERN-RD BIDOR TO SUNGKAI-2.3G-24Week 37,NORTHERN,RD BIDOR TO SUNGKAI,2.3G,24Week 37,100,99.91392229,99.9364,99.9708,100,0.7848,0,99.5091,99.7594,98.9223,99.1583,,,0.2819,0.1379
NORTHERN-HW JELAPANG - P. BUNTAR-2.3G-24Week 37,NORTHERN,HW JELAPANG - P. BUNTAR,2.3G,24Week 37,99.8865,99.8781013,99.9079,99.9643,99.9686,0.7798,0.339,99.7433,99.6888,99.1721,99.3463,98.6075,99.302,0.2621,0.1876
NORTHERN-RD KG DEW - KAMUNTING-2.3G-24Week 37,NORTHERN,RD KG DEW - KAMUNTING,2.3G,24Week 37,99.9994,99.84100003,99.8683,99.9601,99.9516,0.6426,0.4064,99.9319,99.394,99.5597,100.6382,43.4783,99.0756,0.2962,0.1733
NORTHERN-TW PARIT BUNTAR-2.3G-24Week 37,NORTHERN,TW PARIT BUNTAR,2.3G,24Week 37,100,99.88492339,99.9165,99.9613,99.8879,0.5895,0.0921,99.5728,99.8078,99.4323,99.4593,98.9057,99.3625,0.3502,0.1683
NORTHERN-TW TAIPING-2.3G-24Week 37,NORTHERN,TW TAIPING,2.3G,24Week 37,99.8835,99.87822077,99.9151,99.9568,99.8498,0.5066,0.0455,99.8554,99.7092,99.7458,100.3034,3.2738,35.7143,0.2924,0.1575
NORTHERN-TW KUALA KANGSAR-2.3G-24Week 37,NORTHERN,TW KUALA KANGSAR,2.3G,24Week 37,100,99.82779252,99.848,99.9627,99.8534,0.7128,0.083,100.6824,99.7005,99.4065,99.6111,,0,0.2633,0.2074
NORTHERN-PULAU PANGKOR-2.3G-24Week 37,NORTHERN,PULAU PANGKOR,2.3G,24Week 37,99.6127,99.63214522,99.6771,99.9534,99.88,0.5887,0,99.4198,99.7172,98.9981,99.3077,0,,0.0952,0.1088
NORTHERN-TW SG SIPUT-2.3G-24Week 37,NORTHERN,TW SG SIPUT,2.3G,24Week 37,100,99.87389443,99.8976,99.9717,100,0.9724,0.1155,101.9234,99.7472,99.3522,99.4914,100,,0.3197,0.1504
NORTHERN-TW KAMUNTING-2.3G-24Week 37,NORTHERN,TW KAMUNTING,2.3G,24Week 37,99.9091,99.75748378,99.8436,99.9076,99.806,0.7196,0.1952,100.4716,99.674,99.8453,99.5583,3.4759,,0.3066,0.1702
NORTHERN-IPOH1-2.3G-24Week 37,NORTHERN,IPOH1,2.3G,24Week 37,99.9798,99.78165948,99.8473,99.9238,99.7237,0.7808,0.1578,99.8321,99.6849,99.4583,99.6268,21.9388,96.8,0.3896,0.2389
NORTHERN-IPOH4-2.3G-24Week 37,NORTHERN,IPOH4,2.3G,24Week 37,94.3642,99.90120286,99.9225,99.9686,99.917,0.5457,0.0853,99.5631,99.7849,99.5069,99.6851,73,,0.1848,0.1127
